2018-07-31 16:14:01 status unpacked dpkg:amd64 1.18.4ubuntu1
2018-07-31 16:14:01 status unpacked dpkg:amd64 1.18.4ubuntu1
2018-07-31 16:14:01 configure dpkg:amd64 1.18.4ubuntu1 1.18.4ubuntu1
2018-07-31 16:14:01 status unpacked dpkg:amd64 1.18.4ubuntu1
2018-07-31 16:14:01 status unpacked dpkg:amd64 1.18.4ubuntu1
2018-07-31 16:14:01 status unpacked dpkg:amd64 1.18.4ubuntu1
2018-07-31 16:14:01 status unpacked dpkg:amd64 1.18.4ubuntu1
2018-07-31 16:14:01 status unpacked dpkg:amd64 1.18.4ubuntu1
2018-07-31 16:14:01 status half-configured dpkg:amd64 1.18.4ubuntu1
2018-07-31 16:14:01 status installed dpkg:amd64 1.18.4ubuntu1
2018-07-31 16:14:02 startup archives install
2018-07-31 16:14:02 install libc6:amd64 <none> 2.23-0ubuntu3
2018-07-31 16:14:02 status half-installed libc6:amd64 2.23-0ubuntu3
2018-07-31 16:14:02 status unpacked libc6:amd64 2.23-0ubuntu3
2018-07-31 16:14:02 status unpacked libc6:amd64 2.23-0ubuntu3
2018-07-31 16:14:02 configure libc6:amd64 2.23-0ubuntu3 2.23-0ubuntu3
2018-07-31 16:14:02 status unpacked libc6:amd64 2.23-0ubuntu3
2018-07-31 16:14:02 status unpacked libc6:amd64 2.23-0ubuntu3
2018-07-31 16:14:02 status half-configured libc6:amd64 2.23-0ubuntu3
2018-07-31 16:14:02 status installed libc6:amd64 2.23-0ubuntu3
2018-07-31 16:14:02 startup archives install
2018-07-31 16:14:02 install perl-base:amd64 <none> 5.22.1-9
2018-07-31 16:14:02 status half-installed perl-base:amd64 5.22.1-9
2018-07-31 16:14:03 status unpacked perl-base:amd64 5.22.1-9
2018-07-31 16:14:03 status unpacked perl-base:amd64 5.22.1-9
2018-07-31 16:14:03 configure perl-base:amd64 5.22.1-9 5.22.1-9
2018-07-31 16:14:03 status unpacked perl-base:amd64 5.22.1-9
2018-07-31 16:14:03 status half-configured perl-base:amd64 5.22.1-9
2018-07-31 16:14:03 status installed perl-base:amd64 5.22.1-9
2018-07-31 16:14:03 startup archives install
2018-07-31 16:14:03 install mawk:amd64 <none> 1.3.3-17ubuntu2
2018-07-31 16:14:03 status half-installed mawk:amd64 1.3.3-17ubuntu2
2018-07-31 16:14:03 status unpacked mawk:amd64 1.3.3-17ubuntu2
2018-07-31 16:14:03 status unpacked mawk:amd64 1.3.3-17ubuntu2
2018-07-31 16:14:03 configure mawk:amd64 1.3.3-17ubuntu2 1.3.3-17ubuntu2
2018-07-31 16:14:03 status unpacked mawk:amd64 1.3.3-17ubuntu2
2018-07-31 16:14:03 status half-configured mawk:amd64 1.3.3-17ubuntu2
2018-07-31 16:14:03 status installed mawk:amd64 1.3.3-17ubuntu2
2018-07-31 16:14:03 startup archives install
2018-07-31 16:14:03 install debconf:all <none> 1.5.58ubuntu1
2018-07-31 16:14:03 status half-installed debconf:all 1.5.58ubuntu1
2018-07-31 16:14:03 status unpacked debconf:all 1.5.58ubuntu1
2018-07-31 16:14:03 status unpacked debconf:all 1.5.58ubuntu1
2018-07-31 16:14:03 configure debconf:all 1.5.58ubuntu1 1.5.58ubuntu1
2018-07-31 16:14:03 status unpacked debconf:all 1.5.58ubuntu1
2018-07-31 16:14:03 status unpacked debconf:all 1.5.58ubuntu1
2018-07-31 16:14:03 status unpacked debconf:all 1.5.58ubuntu1
2018-07-31 16:14:03 status half-configured debconf:all 1.5.58ubuntu1
2018-07-31 16:14:04 status installed debconf:all 1.5.58ubuntu1
2018-07-31 16:14:04 startup archives unpack
2018-07-31 16:14:04 install adduser:all <none> 3.113+nmu3ubuntu4
2018-07-31 16:14:04 status half-installed adduser:all 3.113+nmu3ubuntu4
2018-07-31 16:14:04 status unpacked adduser:all 3.113+nmu3ubuntu4
2018-07-31 16:14:04 status unpacked adduser:all 3.113+nmu3ubuntu4
2018-07-31 16:14:04 upgrade base-files:amd64 9.4ubuntu4 9.4ubuntu4
2018-07-31 16:14:04 status half-configured base-files:amd64 9.4ubuntu4
2018-07-31 16:14:04 status unpacked base-files:amd64 9.4ubuntu4
2018-07-31 16:14:04 status half-installed base-files:amd64 9.4ubuntu4
2018-07-31 16:14:04 status half-installed base-files:amd64 9.4ubuntu4
2018-07-31 16:14:04 status unpacked base-files:amd64 9.4ubuntu4
2018-07-31 16:14:04 status unpacked base-files:amd64 9.4ubuntu4
2018-07-31 16:14:04 upgrade base-passwd:amd64 3.5.39 3.5.39
2018-07-31 16:14:04 status half-configured base-passwd:amd64 3.5.39
2018-07-31 16:14:04 status unpacked base-passwd:amd64 3.5.39
2018-07-31 16:14:04 status half-installed base-passwd:amd64 3.5.39
2018-07-31 16:14:04 status half-installed base-passwd:amd64 3.5.39
2018-07-31 16:14:04 status unpacked base-passwd:amd64 3.5.39
2018-07-31 16:14:04 status unpacked base-passwd:amd64 3.5.39
2018-07-31 16:14:04 install bash:amd64 <none> 4.3-14ubuntu1
2018-07-31 16:14:04 status half-installed bash:amd64 4.3-14ubuntu1
2018-07-31 16:14:04 status unpacked bash:amd64 4.3-14ubuntu1
2018-07-31 16:14:04 status unpacked bash:amd64 4.3-14ubuntu1
2018-07-31 16:14:04 install bsdutils:amd64 <none> 1:2.27.1-6ubuntu3
2018-07-31 16:14:04 status half-installed bsdutils:amd64 1:2.27.1-6ubuntu3
2018-07-31 16:14:04 status unpacked bsdutils:amd64 1:2.27.1-6ubuntu3
2018-07-31 16:14:04 status unpacked bsdutils:amd64 1:2.27.1-6ubuntu3
2018-07-31 16:14:04 install coreutils:amd64 <none> 8.25-2ubuntu2
2018-07-31 16:14:04 status half-installed coreutils:amd64 8.25-2ubuntu2
2018-07-31 16:14:05 status unpacked coreutils:amd64 8.25-2ubuntu2
2018-07-31 16:14:05 status unpacked coreutils:amd64 8.25-2ubuntu2
2018-07-31 16:14:05 install dash:amd64 <none> 0.5.8-2.1ubuntu2
2018-07-31 16:14:05 status half-installed dash:amd64 0.5.8-2.1ubuntu2
2018-07-31 16:14:05 status unpacked dash:amd64 0.5.8-2.1ubuntu2
2018-07-31 16:14:05 status unpacked dash:amd64 0.5.8-2.1ubuntu2
2018-07-31 16:14:05 upgrade debconf:all 1.5.58ubuntu1 1.5.58ubuntu1
2018-07-31 16:14:05 status half-configured debconf:all 1.5.58ubuntu1
2018-07-31 16:14:05 status unpacked debconf:all 1.5.58ubuntu1
2018-07-31 16:14:05 status half-installed debconf:all 1.5.58ubuntu1
2018-07-31 16:14:05 status half-installed debconf:all 1.5.58ubuntu1
2018-07-31 16:14:05 status unpacked debconf:all 1.5.58ubuntu1
2018-07-31 16:14:05 status unpacked debconf:all 1.5.58ubuntu1
2018-07-31 16:14:05 install debianutils:amd64 <none> 4.7
2018-07-31 16:14:05 status half-installed debianutils:amd64 4.7
2018-07-31 16:14:05 status unpacked debianutils:amd64 4.7
2018-07-31 16:14:05 status unpacked debianutils:amd64 4.7
2018-07-31 16:14:05 install diffutils:amd64 <none> 1:3.3-3
2018-07-31 16:14:05 status half-installed diffutils:amd64 1:3.3-3
2018-07-31 16:14:06 status unpacked diffutils:amd64 1:3.3-3
2018-07-31 16:14:06 status unpacked diffutils:amd64 1:3.3-3
2018-07-31 16:14:06 upgrade dpkg:amd64 1.18.4ubuntu1 1.18.4ubuntu1
